Category,Frequency,Proportion (%)
"La Crosse, WI",154,0.041968714
"Lafayette, LA",235,0.064043168
"Lake Charles, LA",11,0.002997765
"Lansing, MI",120,0.032702894
"Laramie, WY",49,0.013353682
"Laredo, TX",109,0.029705129
"Las Vegas, NV",8468,2.307734234
"Latrobe, PA",64,0.017441544
"Lawton/Fort Sill, OK",52,0.014171254
"Lewisburg, WV",29,0.007903199
"Lewiston, ID",71,0.019349212
"Lexington, KY",494,0.134626914
"Liberal, KS",53,0.014443778
"Lihue, HI",286,0.077941898
"Lincoln, NE",71,0.019349212
"Little Rock, AR",734,0.200032703
"Long Beach, CA",664,0.180956015
"Longview, TX",69,0.018804164
"Los Angeles, CA",9980,2.719790701
"Louisville, KY",1033,0.281517414
"Lubbock, TX",395,0.107647027
"Lynchburg, VA",17,0.00463291
"Madison, WI",593,0.161606802
"Manchester, NH",359,0.097836159
"Manhattan/Ft. Riley, KS",58,0.015806399
"Marquette, MI",112,0.030522701
"Medford, OR",413,0.112552461
"Melbourne, FL",201,0.054777348
"Memphis, TN",1221,0.332751949
"Meridian, MS",52,0.014171254
"Miami, FL",5140,1.400773968
"Midland/Odessa, TX",547,0.149070693
"Milwaukee, WI",1319,0.359459312
"Minneapolis, MN",8545,2.328718592
"Minot, ND",225,0.061317927
"Mission/McAllen/Edinburg, TX",278,0.075761705
"Missoula, MT",281,0.076579277
"Moab, UT",29,0.007903199
"Mobile, AL",217,0.059137734
"Moline, IL",206,0.056139968
"Monroe, LA",201,0.054777348
"Monterey, CA",197,0.053687251
"Montgomery, AL",180,0.049054341
"Montrose/Delta, CO",290,0.079031994
"Mosinee, WI",113,0.030795225
"Muskegon, MI",56,0.015261351
"Myrtle Beach, SC",536,0.146072927
"Nantucket, MA",11,0.002997765
"Nashville, TN",4398,1.198561073
"New Bern/Morehead/Beaufort, NC",98,0.026707364
"New Orleans, LA",2154,0.587016951
"New York, NY",7357,2.004959939
"Newark, NJ",5066,1.380607184
"Newburgh/Poughkeepsie, NY",26,0.007085627
"Newport News/Williamsburg, VA",72,0.019621737
"Niagara Falls, NY",26,0.007085627
"Nome, AK",28,0.007630675
"Norfolk, VA",1109,0.302229247
"North Bend/Coos Bay, OR",10,0.002725241
"North Platte, NE",52,0.014171254
"Oakland, CA",2215,0.603640922
"Ogden, UT",7,0.001907669
"Ogdensburg, NY",53,0.014443778
"Oklahoma City, OK",1221,0.332751949
"Omaha, NE",1308,0.356461547
"Ontario, CA",1309,0.356734071
"Orlando, FL",8575,2.336894315
"Owensboro, KY",9,0.002452717
"Paducah, KY",61,0.016623971
"Palm Springs, CA",1128,0.307407206
"Panama City, FL",504,0.137352156
"Pasco/Kennewick/Richland, WA",291,0.079304518
"Pellston, MI",53,0.014443778
"Pensacola, FL",753,0.205210661
"Peoria, IL",210,0.057230065
"Petersburg, AK",54,0.014716302
"Philadelphia, PA",5406,1.473265384
"Phoenix, AZ",10697,2.915190494
"Pierre, SD",53,0.014443778
"Pittsburgh, PA",1901,0.518068349
"Plattsburgh, NY",66,0.017986592
"Pocatello, ID",100,0.027252412
"Portland, ME",484,0.131901673
"Portland, OR",2878,0.784324413
"Portsmouth, NH",23,0.006268055
"Prescott, AZ",63,0.017169019
"Providence, RI",523,0.142530114
"Provo, UT",48,0.013081158
"Pueblo, CO",52,0.014171254
"Punta Gorda, FL",507,0.138169728
"Raleigh/Durham, NC",2346,0.639341582
"Rapid City, SD",328,0.089387911
"Redding, CA",29,0.007903199
"Reno, NV",1030,0.280699842
"Rhinelander, WI",60,0.016351447
"Richmond, VA",884,0.240911321
"Riverton/Lander, WY",41,0.011173489
"Roanoke, VA",123,0.033520467
"Rochester, MN",233,0.06349812
"Rochester, NY",420,0.11446013
"Rock Springs, WY",44,0.011991061
"Rockford, IL",66,0.017986592
"Roswell, NM",57,0.015533875
"Sacramento, CA",2528,0.688940971
"Saginaw/Bay City/Midland, MI",91,0.024799695
"Saipan, TT",13,0.003542814
"Salina, KS",53,0.014443778
"Salt Lake City, UT",8709,2.373412547
"San Angelo, TX",121,0.032975418
"San Antonio, TX",1625,0.442851692
"San Diego, CA",3761,1.024963209
"San Francisco, CA",6124,1.668937701
"San Jose, CA",2094,0.570665504
"San Juan, PR",2090,0.569575407
"San Luis Obispo, CA",307,0.083664904
"Sanford, FL",690,0.188041642
"Santa Ana, CA",1783,0.485910503
"Santa Barbara, CA",249,0.067858505
"Santa Fe, NM",96,0.026162315
"Santa Maria, CA",20,0.005450482
"Santa Rosa, CA",134,0.036518232
"Sarasota/Bradenton, FL",911,0.248269472
"Sault Ste. Marie, MI",59,0.016078923
"Savannah, GA",862,0.23491579
"Scottsbluff, NE",53,0.014443778
"Scranton/Wilkes-Barre, PA",108,0.029432605
"Seattle, WA",8532,2.325175778
"Sheridan, WY",52,0.014171254
"Shreveport, LA",353,0.096201014
"Sioux City, IA",55,0.014988827
"Sioux Falls, SD",501,0.136534583
"Sitka, AK",31,0.008448248
"South Bend, IN",446,0.121545757
"Spokane, WA",1004,0.273614215
"Springfield, IL",11,0.002997765
"Springfield, MO",534,0.145527879
"St. Cloud, MN",13,0.003542814
"St. George, UT",282,0.076851801
"St. Louis, MO",2902,0.790864992
"St. Petersburg, FL",581,0.158336513
"State College, PA",45,0.012263585
"Staunton, VA",52,0.014171254
"Stillwater, OK",41,0.011173489
"Stockton, CA",30,0.008175724
"Sun Valley/Hailey/Ketchum, ID",166,0.045239004
"Syracuse, NY",414,0.112824985
"Tallahassee, FL",363,0.098926255
"Tampa, FL",4732,1.289584128
"Texarkana, AR",83,0.022619502
"Toledo, OH",37,0.010083392
"Traverse City, MI",189,0.051507058
"Trenton, NJ",83,0.022619502
"Tucson, AZ",1056,0.287785469
"Tulsa, OK",842,0.229465308
"Twin Falls, ID",100,0.027252412
"Tyler, TX",101,0.027524936
"Valdosta, GA",91,0.024799695
"Valparaiso, FL",565,0.153976127
"Vernal, UT",46,0.012536109
"Victoria, TX",51,0.01389873
"Waco, TX",90,0.024527171
"Washington, DC",5917,1.612525208
"Waterloo, IA",28,0.007630675
"Watertown, SD",49,0.013353682
"West Palm Beach/Palm Beach, FL",1606,0.437673734
"White Plains, NY",272,0.07412656
"Wichita Falls, TX",83,0.022619502
"Wichita, KS",599,0.163241947
"Williston, ND",57,0.015533875
"Wilmington, NC",348,0.094838393
"Wrangell, AK",54,0.014716302
"Yakutat, AK",49,0.013353682
"Yuma, AZ",154,0.041968714
