Category,Frequency,Proportion (%)
"La Crosse, WI",153,0.04169619
"Lafayette, LA",236,0.064315692
"Lake Charles, LA",11,0.002997765
"Lansing, MI",119,0.03243037
"Laramie, WY",50,0.013626206
"Laredo, TX",110,0.029977653
"Las Vegas, NV",8456,2.304463945
"Latrobe, PA",64,0.017441544
"Lawton/Fort Sill, OK",52,0.014171254
"Lewisburg, WV",28,0.007630675
"Lewiston, ID",71,0.019349212
"Lexington, KY",497,0.135444487
"Liberal, KS",53,0.014443778
"Lihue, HI",287,0.078214422
"Lincoln, NE",71,0.019349212
"Little Rock, AR",735,0.200305227
"Long Beach, CA",662,0.180410966
"Longview, TX",71,0.019349212
"Los Angeles, CA",9979,2.719518177
"Louisville, KY",1035,0.282062463
"Lubbock, TX",397,0.108192075
"Lynchburg, VA",17,0.00463291
"Madison, WI",591,0.161061754
"Manchester, NH",355,0.096746062
"Manhattan/Ft. Riley, KS",58,0.015806399
"Marquette, MI",113,0.030795225
"Medford, OR",417,0.113642557
"Melbourne, FL",202,0.055049872
"Memphis, TN",1221,0.332751949
"Meridian, MS",53,0.014443778
"Miami, FL",5128,1.397503679
"Midland/Odessa, TX",545,0.148525645
"Milwaukee, WI",1314,0.358096692
"Minneapolis, MN",8546,2.328991116
"Minot, ND",224,0.061045403
"Mission/McAllen/Edinburg, TX",280,0.076306753
"Missoula, MT",281,0.076579277
"Moab, UT",29,0.007903199
"Mobile, AL",219,0.059682782
"Moline, IL",208,0.056685017
"Monroe, LA",200,0.054504824
"Monterey, CA",197,0.053687251
"Montgomery, AL",181,0.049326865
"Montrose/Delta, CO",288,0.078486946
"Mosinee, WI",114,0.031067749
"Muskegon, MI",56,0.015261351
"Myrtle Beach, SC",536,0.146072927
"Nantucket, MA",11,0.002997765
"Nashville, TN",4397,1.198288549
"New Bern/Morehead/Beaufort, NC",98,0.026707364
"New Orleans, LA",2153,0.586744427
"New York, NY",7360,2.005777511
"Newark, NJ",5091,1.387420287
"Newburgh/Poughkeepsie, NY",26,0.007085627
"Newport News/Williamsburg, VA",72,0.019621737
"Niagara Falls, NY",25,0.006813103
"Nome, AK",28,0.007630675
"Norfolk, VA",1106,0.301411675
"North Bend/Coos Bay, OR",10,0.002725241
"North Platte, NE",52,0.014171254
"Oakland, CA",2217,0.60418597
"Ogden, UT",7,0.001907669
"Ogdensburg, NY",52,0.014171254
"Oklahoma City, OK",1226,0.334114569
"Omaha, NE",1310,0.357006595
"Ontario, CA",1309,0.356734071
"Orlando, FL",8569,2.33525917
"Owensboro, KY",9,0.002452717
"Paducah, KY",61,0.016623971
"Palm Springs, CA",1128,0.307407206
"Panama City, FL",503,0.137079632
"Pasco/Kennewick/Richland, WA",292,0.079577043
"Pellston, MI",53,0.014443778
"Pensacola, FL",753,0.205210661
"Peoria, IL",210,0.057230065
"Petersburg, AK",52,0.014171254
"Philadelphia, PA",5419,1.476808198
"Phoenix, AZ",10690,2.913282826
"Pierre, SD",53,0.014443778
"Pittsburgh, PA",1904,0.518885921
"Plattsburgh, NY",66,0.017986592
"Pocatello, ID",100,0.027252412
"Portland, ME",484,0.131901673
"Portland, OR",2871,0.782416744
"Portsmouth, NH",22,0.005995531
"Prescott, AZ",63,0.017169019
"Providence, RI",518,0.141167493
"Provo, UT",48,0.013081158
"Pueblo, CO",52,0.014171254
"Punta Gorda, FL",510,0.1389873
"Raleigh/Durham, NC",2352,0.640976726
"Rapid City, SD",328,0.089387911
"Redding, CA",28,0.007630675
"Reno, NV",1032,0.28124489
"Rhinelander, WI",60,0.016351447
"Richmond, VA",885,0.241183845
"Riverton/Lander, WY",43,0.011718537
"Roanoke, VA",124,0.033792991
"Rochester, MN",233,0.06349812
"Rochester, NY",418,0.113915081
"Rock Springs, WY",45,0.012263585
"Rockford, IL",66,0.017986592
"Roswell, NM",57,0.015533875
"Sacramento, CA",2527,0.688668447
"Saginaw/Bay City/Midland, MI",91,0.024799695
"Saipan, TT",13,0.003542814
"Salina, KS",53,0.014443778
"Salt Lake City, UT",8686,2.367144492
"San Angelo, TX",121,0.032975418
"San Antonio, TX",1624,0.442579168
"San Diego, CA",3756,1.023600589
"San Francisco, CA",6129,1.670300322
"San Jose, CA",2098,0.5717556
"San Juan, PR",2091,0.569847932
"San Luis Obispo, CA",307,0.083664904
"Sanford, FL",692,0.18858669
"Santa Ana, CA",1780,0.485092931
"Santa Barbara, CA",250,0.06813103
"Santa Fe, NM",96,0.026162315
"Santa Maria, CA",20,0.005450482
"Santa Rosa, CA",137,0.037335804
"Sarasota/Bradenton, FL",904,0.246361803
"Sault Ste. Marie, MI",60,0.016351447
"Savannah, GA",863,0.235188314
"Scottsbluff, NE",53,0.014443778
"Scranton/Wilkes-Barre, PA",108,0.029432605
"Seattle, WA",8556,2.331716357
"Sheridan, WY",53,0.014443778
"Shreveport, LA",358,0.097563634
"Sioux City, IA",54,0.014716302
"Sioux Falls, SD",503,0.137079632
"Sitka, AK",30,0.008175724
"South Bend, IN",449,0.122363329
"Spokane, WA",1001,0.272796643
"Springfield, IL",11,0.002997765
"Springfield, MO",536,0.146072927
"St. Cloud, MN",13,0.003542814
"St. George, UT",282,0.076851801
"St. Louis, MO",2898,0.789774895
"St. Petersburg, FL",582,0.158609037
"State College, PA",47,0.012808634
"Staunton, VA",51,0.01389873
"Stillwater, OK",41,0.011173489
"Stockton, CA",31,0.008448248
"Sun Valley/Hailey/Ketchum, ID",169,0.046056576
"Syracuse, NY",416,0.113370033
"Tallahassee, FL",362,0.098653731
"Tampa, FL",4729,1.288766556
"Texarkana, AR",84,0.022892026
"Toledo, OH",37,0.010083392
"Traverse City, MI",190,0.051779582
"Trenton, NJ",83,0.022619502
"Tucson, AZ",1055,0.287512945
"Tulsa, OK",849,0.231372977
"Twin Falls, ID",100,0.027252412
"Tyler, TX",102,0.02779746
"Valdosta, GA",91,0.024799695
"Valparaiso, FL",564,0.153703603
"Vernal, UT",49,0.013353682
"Victoria, TX",51,0.01389873
"Waco, TX",90,0.024527171
"Washington, DC",5924,1.614432877
"Waterloo, IA",28,0.007630675
"Watertown, SD",49,0.013353682
"West Palm Beach/Palm Beach, FL",1601,0.436311114
"White Plains, NY",274,0.074671608
"Wichita Falls, TX",83,0.022619502
"Wichita, KS",600,0.163514471
"Williston, ND",57,0.015533875
"Wilmington, NC",349,0.095110917
"Wrangell, AK",54,0.014716302
"Yakutat, AK",52,0.014171254
"Yuma, AZ",154,0.041968714
